secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
196,104,0,2.44839,44.3628,0,389,44,12.57679442,56.04130195,0,1.52,23,0,50,0,0,0,0,0,0,0,0
197,105,0,2.46422,47.0412,0,399,43.8,12.57654054,56.04130966,0,1.23,23,0,49,0,0,0,0,0,0,0,0
198,101,0,2.47529,48.1536,0,430,43.8,12.57636343,56.04131754,0,0.96,23,0,49,0,0,0,0,0,0,0,0
199,101,0,2.48926,48.6612,0,461,43.8,12.57613980,56.04132869,0,0.34,23,0,49,0,0,0,0,0,0,0,0
200,102,0,2.5026,49.086,0,463,43.6,12.57592598,56.04133263,0,0,23,0,50,0,0,0,0,0,0,0,0
201,103,0,2.51674,49.3452,0,447,43.8,12.57570034,56.04134059,0,0,23,0,50,0,0,0,0,0,0,0,0
202,104,0,2.53106,48.1572,0,427,43.8,12.57547134,56.04135576,0,0,23,0,49,0,0,0,0,0,0,0,0
203,103,0,2.54762,48.654,0,413,43.6,12.57520639,56.04136700,0,0,23,0,49,0,0,0,0,0,0,0,0
204,101,0,2.56162,49.086,0,425,43.4,12.57498209,56.04137479,0,0,23,0,46,0,0,0,0,0,0,0,0
205,99,0,2.57603,49.4568,0,445,43.4,12.57475209,56.04138653,0,0,23,0,47,0,0,0,0,0,0,0,0
206,100,0,2.58739,50.184,0,432,43.4,12.57457062,56.04139776,0,0,23,0,50,0,0,0,0,0,0,0,0
207,100,0,2.60498,50.472,0,397,43.6,12.57429025,56.04141293,0,0,23,0,49,0,0,0,0,0,0,0,0
208,101,0,2.61992,50.5584,0,403,43.4,12.57405178,56.04142483,0,0,23,0,49,0,0,0,0,0,0,0,0
209,102,0,2.63467,51.0552,0,420,43.2,12.57381625,56.04143967,0,0,23,0,49,0,0,0,0,0,0,0,0
210,102,0,2.64894,52.0344,0,412,43.2,12.57358759,56.04144704,0,0,23,0,50,0,0,0,0,0,0,0,0
211,103,0,2.66143,52.1208,0,351,43.2,12.57338777,56.04145484,0,0,23,0,48,0,0,0,0,0,0,0,0
212,102,0,2.67891,52.4304,0,319,43,12.57310756,56.04146255,0,0,23,0,48,0,0,0,0,0,0,0,0
213,103,0,2.69453,52.434,0,297,43,12.57285778,56.04147403,0,-0.2,23,0,49,0,0,0,0,0,0,0,0
214,102,0,2.70908,52.4952,0,268,42.8,12.57262485,56.04148132,0,-0.45,23,0,49,0,0,0,0,0,0,0,0
215,102,0,2.72113,52.83,0,235,42.8,12.57243181,56.04148510,0,-0.56,23,0,51,0,0,0,0,0,0,0,0
216,101,0,2.73549,52.83,0,230,42.8,12.57220097,56.04148887,0,-0.29,23,0,49,0,0,0,0,0,0,0,0
